"time","value","example"
"2013-05-01 00:00",16.22,4
"2013-05-01 00:10",15.1,4
"2013-05-01 00:20",14.67,4
"2013-05-01 00:30",14.76,4
"2013-05-01 00:40",14.3,4
"2013-05-01 00:50",NA,4
"2013-05-01 01:00",NA,4
"2013-05-01 01:10",NA,4
"2013-05-01 01:20",NA,4
"2013-05-01 01:30",14.27,4
"2013-05-01 01:40",14.49,4
"2013-05-01 01:50",14.7,4
"2013-05-01 02:00",14.28,4
"2013-05-01 02:10",14.1,4
"2013-05-01 02:20",13.99,4
"2013-05-01 02:30",13.85,4
"2013-05-01 02:40",14.05,4
"2013-05-01 02:50",14.57,4
"2013-05-01 03:00",14.33,4
"2013-05-01 03:10",14.5,4
"2013-05-01 03:20",13.72,4
"2013-05-01 03:30",13.35,4
"2013-05-01 03:40",NA,4
"2013-05-01 03:50",NA,4
"2013-05-01 04:00",NA,4
"2013-05-01 04:10",16.44,4
"2013-05-01 04:20",15.87,4
"2013-05-01 04:30",15.61,4
"2013-05-01 04:40",16,4
"2013-05-01 04:50",16.27,4
"2013-05-01 05:00",16.38,4
"2013-05-01 05:10",15.96,4
"2013-05-01 05:20",15.94,4
"2013-05-01 05:30",NA,4
"2013-05-01 05:40",NA,4
"2013-05-01 05:50",NA,4
"2013-05-01 06:00",17.83,4
"2013-05-01 06:10",18.24,4
"2013-05-01 06:20",18.73,4
"2013-05-01 06:30",18.78,4
"2013-05-01 06:40",18.39,4
"2013-05-01 06:50",17.25,4
"2013-05-01 07:00",16.82,4
"2013-05-01 07:10",17.7,4
"2013-05-01 07:20",17.59,4
"2013-05-01 07:30",17.83,4
"2013-05-01 07:40",17.61,4
"2013-05-01 07:50",17.77,4
"2013-05-01 08:00",18.31,4
"2013-05-01 08:10",18.33,4
"2013-05-01 08:20",17.66,4
"2013-05-01 08:30",17.88,4
"2013-05-01 08:40",18.23,4
"2013-05-01 08:50",17.43,4
"2013-05-01 09:00",16.67,4
"2013-05-01 09:10",17.89,4
"2013-05-01 09:20",19.15,4
"2013-05-01 09:30",18.07,4
"2013-05-01 09:40",18.22,4
"2013-05-01 09:50",17.91,4
"2013-05-01 10:00",17.89,4
"2013-05-01 10:10",18.06,4
"2013-05-01 10:20",18.78,4
"2013-05-01 10:30",20.3,4
"2013-05-01 10:40",19.74,4
"2013-05-01 10:50",20.7,4
"2013-05-01 11:00",22.25,4
"2013-05-01 11:10",22.41,4
"2013-05-01 11:20",20.95,4
"2013-05-01 11:30",21.04,4
"2013-05-01 11:40",20.94,4
"2013-05-01 11:50",22.19,4
"2013-05-01 12:00",23.03,4
"2013-05-01 12:10",20.51,4
"2013-05-01 12:20",21.56,4
"2013-05-01 12:30",20.75,4
"2013-05-01 12:40",20.86,4
"2013-05-01 12:50",21.39,4
"2013-05-01 13:00",20.1,4
"2013-05-01 13:10",20.93,4
"2013-05-01 13:20",22.29,4
"2013-05-01 13:30",22.16,4
"2013-05-01 13:40",21.41,4
"2013-05-01 13:50",22.19,4
"2013-05-01 14:00",21.97,4
"2013-05-01 14:10",22.17,4
"2013-05-01 14:20",22.41,4
"2013-05-01 14:30",23.31,4
"2013-05-01 14:40",24.58,4
"2013-05-01 14:50",23.69,4
"2013-05-01 15:00",23.08,4
"2013-05-01 15:10",21.55,4
"2013-05-01 15:20",21.96,4
"2013-05-01 15:30",22.36,4
"2013-05-01 15:40",23.24,4
"2013-05-01 15:50",23.19,4
"2013-05-01 16:00",22.3,4
"2013-05-01 16:10",23.38,4
"2013-05-01 16:20",22.88,4
"2013-05-01 16:30",22.32,4
"2013-05-01 16:40",23.74,4
"2013-05-01 16:50",23.38,4
"2013-05-01 17:00",23.25,4
"2013-05-01 17:10",26.4,4
"2013-05-01 17:20",25.98,4
"2013-05-01 17:30",24.58,4
"2013-05-01 17:40",24.29,4
"2013-05-01 17:50",25.17,4
"2013-05-01 18:00",26.08,4
"2013-05-01 18:10",25.62,4
"2013-05-01 18:20",26.01,4
"2013-05-01 18:30",27.78,4
"2013-05-01 18:40",33.22,4
"2013-05-01 18:50",33.55,4
"2013-05-01 19:00",34.19,4
"2013-05-01 19:10",33.97,4
"2013-05-01 19:20",33.32,4
"2013-05-01 19:30",32.6,4
"2013-05-01 19:40",33.48,4
"2013-05-01 19:50",34.67,4
"2013-05-01 20:00",33.79,4
"2013-05-01 20:10",33.12,4
"2013-05-01 20:20",32.34,4
"2013-05-01 20:30",32.53,4
"2013-05-01 20:40",33.26,4
"2013-05-01 20:50",31.76,4
"2013-05-01 21:00",30.12,4
"2013-05-01 21:10",29.25,4
"2013-05-01 21:20",29.81,4
"2013-05-01 21:30",29.07,4
"2013-05-01 21:40",28.26,4
"2013-05-01 21:50",27.53,4
"2013-05-01 22:00",18.6,4
"2013-05-01 22:10",18.3,4
"2013-05-01 22:20",18.87,4
"2013-05-01 22:30",18.52,4
"2013-05-01 22:40",18.28,4
"2013-05-01 22:50",18.19,4
"2013-05-01 23:00",17.04,4
"2013-05-01 23:10",17.14,4
"2013-05-01 23:20",17.38,4
"2013-05-01 23:30",17.48,4
"2013-05-01 23:40",16.74,4
"2013-05-01 23:50",16.25,4
"2013-05-02 00:00",16.81,4
"2013-05-02 00:10",16.81,4
"2013-05-02 00:20",16.47,4
"2013-05-02 00:30",16.21,4
"2013-05-02 00:40",16.02,4
"2013-05-02 00:50",16.03,4
"2013-05-02 01:00",15.49,4
"2013-05-02 01:10",14.87,4
"2013-05-02 01:20",14.37,4
"2013-05-02 01:30",14.75,4
"2013-05-02 01:40",14.89,4
"2013-05-02 01:50",14.73,4
"2013-05-02 02:00",14.55,4
"2013-05-02 02:10",15.05,4
"2013-05-02 02:20",14.93,4
"2013-05-02 02:30",14.91,4
"2013-05-02 02:40",14.09,4
"2013-05-02 02:50",14.25,4
"2013-05-02 03:00",14.42,4
"2013-05-02 03:10",14.53,4
"2013-05-02 03:20",14.51,4
"2013-05-02 03:30",13.66,4
"2013-05-02 03:40",14.17,4
"2013-05-02 03:50",15.2,4
"2013-05-02 04:00",14.69,4
"2013-05-02 04:10",14.72,4
"2013-05-02 04:20",13.87,4
"2013-05-02 04:30",13.64,4
"2013-05-02 04:40",15.48,4
"2013-05-02 04:50",14.94,4
"2013-05-02 05:00",15.54,4
"2013-05-02 05:10",17.75,4
"2013-05-02 05:20",17.54,4
"2013-05-02 05:30",17.83,4
"2013-05-02 05:40",17.48,4
"2013-05-02 05:50",17.55,4
"2013-05-02 06:00",19.55,4
"2013-05-02 06:10",21.47,4
"2013-05-02 06:20",22.83,4
"2013-05-02 06:30",23.14,4
"2013-05-02 06:40",23.29,4
"2013-05-02 06:50",23.54,4
